dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
streamspot,minus_heterogeneous_stream,22,0.6683417085427136,0.35672,0.6666666666666666,0.0014531828928738,1.0,0.9999982118606568,0.0354994299998452
streamspot,minus_heterogeneous_stream,33,0.662883087400681,0.664464,0.5454545454545454,0.0027991586830466,1.0,0.9999988675117492,0.0502154989999326
streamspot,minus_heterogeneous_stream,44,0.6608946608946609,0.5012,0.6666666666666666,0.0,1.0,0.9999948740005492,0.0306331765002596
streamspot,minus_heterogeneous_stream,55,0.6674391657010429,0.479792,0.3636363636363636,0.0233376193791627,1.0,1.0,0.0389754299999367
streamspot,minus_heterogeneous_stream,66,0.662883087400681,0.4958559999999999,0.4,0.0,1.0,1.0,0.0396028839998052
streamspot,minus_heterogeneous_stream,77,0.662883087400681,0.536416,0.0,0.005259022116661,1.0,1.0,0.0349766854999415
streamspot,minus_heterogeneous_stream,88,0.6605293440736478,0.593712,0.7692307692307693,0.0069859852083027,1.0,0.9999993443489076,0.0391433525001048
streamspot,minus_heterogeneous_stream,99,0.662883087400681,0.4054079999999999,0.6666666666666666,0.0090077994391322,0.9983968019485474,1.0,0.0197292575001029
streamspot,minus_heterogeneous_stream,110,0.6605293440736478,0.530656,0.6666666666666666,0.0081844590604305,1.0,1.0,0.0202475989999584
streamspot,minus_joint_optimization,11,0.6605293440736478,0.454576,0.8888888888888888,0.0161098707467317,1.0,0.999994933605194,0.0312176979998639
streamspot,minus_joint_optimization,22,0.6612903225806451,0.371856,0.8888888888888888,0.0086068427190184,1.0,1.0,0.0227505020002354
streamspot,minus_joint_optimization,33,0.6666666666666666,0.50824,0.8888888888888888,0.0,1.0,0.9999907612800598,0.0231162039999617
streamspot,minus_joint_optimization,44,0.697350069735007,0.5458080000000001,0.7272727272727273,0.0002820692316163,1.0,0.9999957084655762,0.0297430635000637
streamspot,minus_joint_optimization,55,0.664391353811149,0.483232,0.8888888888888888,0.0310538448393344,1.0,0.9999979138374328,0.0190686999999343
streamspot,minus_joint_optimization,66,0.6715328467153284,0.52848,0.6666666666666666,0.0,1.0,1.0,0.019895510499964
streamspot,minus_joint_optimization,77,0.662883087400681,0.519248,0.8,0.0174231994897127,1.0,0.9999914169311525,0.0203989865001403
streamspot,minus_joint_optimization,88,0.6651428571428571,0.504128,0.8888888888888888,0.0047052316367626,1.0,1.0,0.0198465574999318
streamspot,minus_joint_optimization,99,0.662883087400681,0.418464,0.6666666666666666,0.0044042346999049,1.0,0.9999914765357972,0.0299259290000009
streamspot,minus_joint_optimization,110,0.6605293440736478,0.5585279999999999,0.6666666666666666,0.0155573636293411,1.0,0.9999983310699464,0.0290073544999813
