n,prevalence,threshold,accuracy,f1,precision,recall,auroc,auprc,brier_score,model,seed,best_epoch,epochs_executed,parameter_count,primary_outcome,implementation_scope,dataset
678,0.14896755162241887,0.66,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9904164593235754,0.9406556062609938,0.20581695961396235,gat,88,47,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.988332211971283,0.9528023598820059,0.8117647058823529,1.0,0.6831683168316832,0.9895756473394306,0.9760751856435643,0.08013302070731823,gat,99,50,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.89,0.9941002949852508,0.9797979797979798,1.0,0.9603960396039604,0.9902963433258403,0.9767523656551058,0.14588012191683064,gcn,11,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.88,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9903135027540882,0.976769861093795,0.19290527582106115,gcn,110,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.8,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9903135027540882,0.976769861093795,0.20319301360777742,gcn,22,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.85,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.990004633045627,0.9764771543696711,0.19496489913606177,gcn,33,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.95,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9903135027540882,0.976769861093795,0.20342495397538846,gcn,44,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.95,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9903135027540882,0.976769861093795,0.2031195751847486,gcn,55,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.9927392601966858,0.7920353982300885,0.5791044776119403,0.41452991452991456,0.9603960396039604,0.990467937608319,0.9769216573494873,0.2233313088798983,gcn,66,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.88,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9903135027540881,0.976769861093795,0.20159471539496332,gcn,77,46,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.77,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9903135027540882,0.976769861093795,0.1952695258131034,gcn,88,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.65,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.990467937608319,0.9769216573494873,0.17830239671667925,gcn,99,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.997435986995697,0.8510324483775811,0.0,0.0,0.0,0.9927501415652831,0.9887268438011617,0.009785697275518564,rgcn,11,50,50,13513,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.9992491602897644,0.8510324483775811,0.0,0.0,0.0,0.9952554180894694,0.9898067222081416,0.00975304376112303,rgcn,110,48,50,13513,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.9982314705848694,0.8510324483775811,0.0,0.0,0.0,0.9947921135267773,0.9895975139451901,0.009995959712487954,rgcn,22,50,50,13513,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.9986879229545593,0.8510324483775811,0.0,0.0,0.0,0.9920466050071212,0.9883488099134493,0.011410195160736235,rgcn,33,50,50,13513,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.9952694773674011,0.8510324483775811,0.0,0.0,0.0,0.9927158227087873,0.9889408402957126,0.014539226383013075,rgcn,44,50,50,13513,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
